1234567890,,100
通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16
105.465,108.727,112.35,106.953,102.909,106.133,113.552,106.934,106.247,122.593,103.844,110.157,111.568,118.13,3.212,4.318
111.969,109.566,102.146,112.656,102.928,103.672,112.484,107.01,104.225,120.094,115.116,112.865,117.29,119.446,9.068,3.46
100.163,109.547,104.321,110.691,100.124,110.062,108.364,109.07,113.647,121.83,111.206,110.729,113.647,112.961,-1.575,5.367
102.108,104.454,100.983,107.697,100.964,110.062,116.146,111.988,112.923,117.977,110.996,109.547,113.285,113.266,4.7,7.103
97.225,108.841,97.34,104.778,116.051,106.094,113.991,106.457,110.348,117.996,107.334,110.367,110.672,110.462,3.708,4.948
108.517,99.342,118.053,109.661,100.906,105.026,113.991,104.53,105.522,114.105,106.915,113.056,112.141,112.103,1.953,-0.393
125.511,112.541,107.43,111.168,108.269,103.386,110.1,105.179,104.073,114.983,104.664,105.427,104.74,109.985,10.88,10.307
107.22,114.048,109.833,122.116,102.871,109.604,114.639,107.773,102.833,111.32,102.146,106.266,103.519,105.637,2.373,6.721
109.623,115.498,104.988,115.746,109.871,110.786,116.871,111.263,105.541,107.029,105.942,109.299,105.064,105.103,2.964,9.926
101.612,108.574,110.481,112.789,107.372,111.435,112.98,112.503,106.781,109.89,106.075,107.983,110.901,111.988,-0.87,7.427
108.688,110.424,104.969,109.833,100.487,101.212,116.508,108.326,106.609,112.808,114.239,117.519,114.544,120.743,7.008,3.803
109.947,103.901,111.645,97.893,103.024,99.648,110.386,105.789,108.879,116.432,114.105,118.626,117.062,116.337,4.337,4.929
108.097,95.737,113.819,109.642,97.34,102.661,117.424,110.176,108.25,116.489,109.261,115.002,111.588,114.983,8.953,1.038
98.236,115.631,99.342,105.045,104.321,106.628,116.642,113.686,109.737,118.244,106.609,106.247,107.029,111.549,9.354,11.566
97.874,104.568,103.539,116.356,102.68,110.023,116.852,113.094,106.38,112.751,109.451,106.266,110.939,108.955,2.296,4.871
104.511,116.203,108.135,105.713,109.795,105.522,111.282,106.075,103.806,113.647,110.271,107.391,110.519,112.236,2.888,10.403
108.898,111.53,113.438,108.593,103.786,104.053,114.41,103.024,103.882,118.225,107.62,126.083,110.348,110.958,8.038,-0.717
119.007,111.282,112.274,106.857,110.271,104.321,111.969,105.083,105.179,115.307,106.819,107.277,106.819,109.661,7.847,5.005
108.288,107.506,114.582,101.498,113.056,111.893,114.01,109.299,104.073,114.239,106.19,101.288,105.446,106.876,6.13,2.029
114.639,98.789,109.261,120.018,102.07,110.233,118.149,109.184,108.078,115.612,107.849,104.588,105.389,107.468,6.95,-4.398
118.626,108.402,103.863,109.489,106.133,106.19,109.985,107.887,108.25,119.541,109.604,111.073,111.454,115.612,8.362,9.983
102.489,110.462,105.408,115.688,98.465,106.323,112.465,107.162,105.274,118.282,108.231,116.928,115.154,118.225,1.324,3.384
105.141,111.855,99.438,108.479,107.525,105.789,112.598,108.212,110.92,115.021,110.882,122.097,113.476,115.25,2.792,9.525
101.383,99.8,107.372,105.846,103.939,109.28,114.372,114.143,110.939,115.669,110.577,111.988,112.942,112.16,0.79,6.683
104.015,103.901,100.163,109.184,106.228,104.874,120.399,112.522,108.002,114.277,108.822,115.116,109.718,113.266,8.266,3.956
105.789,105.484,112.77,98.255,110.882,102.871,114.563,107.868,106.628,111.855,108.974,113.171,111.855,112.56,2.296,5.52
115.822,103.1,123.547,110.367,100.62,104.13,114.296,105.312,103.157,112.789,108.25,109.184,107.849,108.707,8.038,-4.932
122.726,119.732,108.746,113.991,106.743,106.056,114.372,107.62,102.852,111.778,102.07,105.961,104.149,108.135,15.457,3.975
106.8,110.92,112.77,118.988,102.28,110.424,119.122,111.34,105.37,112.503,103.539,94.669,102.127,103.157,1.343,4.051
104.95,114.334,102.547,111.683,112.103,109.337,116.356,110.233,107.258,115.746,108.917,106.056,107.677,109.661,6.13,9.411
98.808,111.664,105.961,110.062,99.323,106.781,112.103,106.075,109.184,119.37,108.822,111.588,116.508,116.318,2.392,2.678
109.737,106.304,106.361,105.408,107.868,104.893,109.184,102.127,106.857,119.465,115.955,115.078,117.481,120.819,7.408,4.089
106.8,105.789,108.994,95.89,108.288,108.631,111.397,105.846,108.364,119.827,111.702,107.983,114.887,114.525,5.92,2.811
107.315,96.71,101.021,118.092,100.296,107.792,119.98,108.555,109.299,120.743,109.795,109.451,107.372,109.489,9.182,-4.15
103.405,111.187,100.487,107.277,107.067,111.111,116.394,107.811,108.288,115.192,107.086,105.98,109.375,108.307,-4.15,16.048
103.71,106.113,105.579,112.77,109.28,109.07,114.525,108.994,106.075,114.735,105.064,109.013,110.939,108.326,1.4,6.035
110.92,121.01,107.658,107.487,110.062,106.342,112.389,105.465,104.855,111.568,103.31,119.331,109.68,114.029,3.155,8.438
114.811,108.917,113.781,111.149,104.511,103.71,110.424,105.446,105.312,112.064,105.331,107.391,107.944,108.746,4.471,-0.965
111.32,111.626,110.786,111.053,113.247,100.487,118.397,114.983,104.206,109.909,95.89,112.122,102.909,111.397,8.915,3.231
108.059,103.539,119.331,87.307,106.247,109.241,118.435,111.969,106.953,112.732,104.969,103.844,104.435,107.258,4.89,3.574
113.037,95.184,114.449,113.8,90.759,112.446,111.282,112.846,108.536,110.672,108.059,108.402,109.604,121.639,11.395,-2.548
105.026,121.925,103.081,108.402,101.631,110.424,106.819,105.999,108.288,113.686,111.835,116.394,116.737,117.367,3.593,19.691
103.024,105.637,103.977,112.446,105.408,109.356,109.299,101.154,105.293,120.552,107.41,118.301,117.958,113.094,5.749,8.705
82.958,117.672,108.097,98.484,105.179,103.481,116.909,110.5,105.465,120.571,112.179,110.1,113.953,113.38,-0.05,6.817
